CellID,ClusterID,ClusterName
0,0,eL2/3
1,-1,NA
2,-1,NA
3,-1,NA
4,3,Astro
5,-1,NA
6,2,eL5
7,6,eL4
8,2,eL2/3
9,1,eL2/3
10,3,eL2/3
11,-1,NA
12,-1,NA
13,1,eL2/3
14,11,eL4
15,-1,NA
16,-1,NA
17,3,Oligo
18,6,eL5
19,-1,NA
20,1,eL6
21,2,eL6
22,3,eL6
23,2,eL4
24,5,Endo
25,-1,NA
26,7,eL5
27,0,Oligo
28,1,eL5
29,-1,NA
30,3,eL2/3
31,3,eL2/3
32,6,eL6
33,7,eL6
34,0,eL2/3
35,-1,NA
36,1,Astro
37,1,eL2/3
38,1,Oligo
39,1,eL4
40,0,eL6
41,-1,NA
42,-1,NA
43,1,eL5
44,1,eL2/3
45,0,eL2/3
46,3,Smc
47,5,Endo
48,5,eL6
49,4,eL5
50,3,SST
51,1,eL4
52,3,Endo
53,-1,NA
54,0,eL4
55,1,eL4
56,2,Smc
57,2,Oligo
58,2,eL5
59,1,eL4
60,11,eL6
61,2,eL5
62,10,eL5
63,3,Oligo
64,0,Astro
65,-1,NA
66,1,eL6
67,1,Smc
68,2,eL2/3
69,-1,NA
70,2,eL5
71,0,eL4
72,1,Endo
73,0,eL5
74,1,PV
75,-1,NA
76,0,eL5
77,3,eL4
78,8,eL2/3
79,-1,NA
80,0,eL2/3
81,-1,NA
82,3,eL2/3
83,0,eL4
84,1,eL2/3
85,-1,NA
86,6,eL4
87,2,eL4
88,2,eL4
89,1,Astro
90,1,eL4
91,2,Astro
92,-1,NA
93,5,Oligo
94,1,Astro
95,6,eL5
96,3,eL2/3
97,-1,NA
98,3,eL5
99,3,Endo
100,7,eL4
101,4,eL4
102,-1,NA
103,1,eL6
104,1,eL6
105,3,Endo
106,2,eL5
107,-1,NA
108,3,Astro
109,1,eL2/3
110,-1,NA
111,6,eL6
112,4,Smc
113,-1,NA
114,1,Astro
115,0,eL4
116,6,eL2/3
117,0,Oligo
118,-1,NA
119,-1,NA
120,2,Astro
121,7,eL4
122,0,eL4
123,1,eL2/3
124,9,eL5
125,1,eL2/3
126,7,VIP
127,2,eL6
128,3,SST
129,3,eL4
130,7,PV
131,3,eL5
132,1,eL4
133,5,eL2/3
134,1,eL4
135,3,eL4
136,5,eL4
137,6,Endo
138,0,Astro
139,0,eL6
140,1,eL6
141,9,eL6
142,-1,NA
143,3,Endo
144,7,eL2/3
145,3,eL2/3
146,2,eL6
147,5,eL4
148,1,eL6
149,11,eL5
150,4,SST
151,2,eL2/3
152,3,eL2/3
153,4,eL6
154,7,eL4
155,7,eL4
156,5,eL5
157,7,eL4
158,-1,NA
159,7,eL4
160,1,eL2/3
161,1,eL2/3
162,3,PV
163,-1,NA
164,0,eL6
165,0,eL6
166,0,eL5
167,2,Oligo
168,-1,NA
169,1,eL6
170,1,Smc
171,3,PV
172,4,PV
173,2,Smc
174,3,eL6
175,6,eL4
176,0,eL4
177,1,eL6
178,3,eL2/3
179,1,SST
180,-1,NA
181,-1,NA
182,2,eL6
183,1,eL4
184,0,eL6
185,2,eL4
186,6,VIP
187,3,eL2/3
188,4,eL2/3
189,-1,NA
190,3,eL4
191,5,Oligo
192,1,eL5
193,1,eL2/3
194,7,VIP
195,0,eL6
196,1,eL4
197,0,eL5
198,3,eL4
199,-1,NA
200,1,eL5
201,0,PV
202,0,eL2/3
203,2,Oligo
204,0,Oligo
205,2,eL6
206,3,Astro
207,7,eL5
208,2,eL2/3
209,2,eL2/3
210,2,eL4
211,4,SST
212,-1,NA
213,8,eL5
214,1,eL4
215,-1,NA
216,5,eL2/3
217,5,Smc
218,1,eL6
219,1,eL4
220,0,PV
221,-1,NA
222,7,Endo
223,-1,NA
224,7,eL4
225,-1,NA
226,3,Oligo
227,3,eL2/3
228,-1,NA
229,2,Smc
230,0,VIP
231,0,eL4
232,2,eL5
233,0,VIP
234,9,eL6
235,0,eL2/3
236,-1,NA
237,1,eL5
238,0,eL6
239,3,eL4
240,0,Endo
241,7,Astro
242,-1,NA
243,2,eL6
244,4,eL4
245,8,eL2/3
246,0,eL2/3
247,0,eL2/3
248,7,eL5
249,1,eL5
250,3,eL2/3
251,2,eL4
252,2,PV
253,1,eL4
254,7,SST
255,3,SST
256,7,PV
257,2,Endo
258,3,SST
259,5,Smc
260,3,eL4
261,0,NPY
262,7,eL4
263,3,PV
264,0,Astro
265,0,eL2/3
266,10,eL6
267,1,eL4
268,-1,NA
269,3,Endo
270,5,eL5
271,-1,NA
272,3,eL5
273,1,eL2/3
274,-1,NA
275,1,eL4
276,0,eL2/3
277,2,eL4
278,0,eL4
279,1,eL4
280,2,eL2/3
281,-1,NA
282,0,eL2/3
283,6,Oligo
284,2,eL6
285,3,eL2/3
286,1,Astro
287,1,eL5
288,11,Oligo
289,-1,NA
290,3,Astro
291,-1,NA
292,9,Oligo
293,0,eL6
294,3,Oligo
295,4,eL5
296,0,Astro
297,0,eL4
298,0,eL6
299,4,eL2/3
300,0,Oligo
301,2,eL5
302,3,Endo
303,1,PV
304,3,eL4
305,2,eL4
306,-1,NA
307,0,eL6
308,9,eL2/3
309,-1,NA
310,3,eL5
311,1,Astro
312,2,Astro
313,3,Endo
314,0,SST
315,0,NPY
316,1,eL6
317,3,eL4
318,5,PV
319,3,eL6
320,3,eL2/3
321,1,Oligo
322,-1,NA
323,1,eL6
324,6,eL5
325,7,eL2/3
326,2,Endo
327,9,eL6
328,3,eL6
329,-1,NA
330,9,eL2/3
331,1,SST
332,6,Endo
333,1,NPY
334,3,eL6
335,1,eL6
336,3,eL2/3
337,-1,NA
338,3,eL5
339,3,eL4
340,1,eL4
341,7,Astro
342,3,Astro
343,0,PV
344,6,eL4
345,3,eL6
346,6,eL6
347,2,Endo
348,-1,NA
349,4,eL4
350,0,Oligo
351,2,eL5
352,3,eL4
353,6,Astro
354,1,Smc
355,1,eL6
356,0,Astro
357,-1,NA
358,6,Oligo
359,0,eL4
360,2,eL2/3
361,4,eL4
362,11,eL6
363,0,eL4
364,2,eL6
365,5,eL4
366,10,eL5
367,5,VIP
368,1,Smc
369,9,eL5
370,0,eL6
371,8,eL2/3
372,6,SST
373,1,eL6
374,7,eL4
375,3,eL2/3
376,2,eL5
377,1,NPY
378,2,eL4
379,3,eL2/3
380,2,eL2/3
381,0,SST
382,6,Oligo
383,1,eL6
384,10,Astro
385,0,Astro
386,1,eL2/3
387,4,Astro
388,1,Smc
389,6,eL6
390,-1,NA
391,3,eL6
392,0,eL4
393,1,eL6
394,9,Oligo
395,3,Endo
396,0,eL6
397,1,eL4
398,1,eL2/3
399,-1,NA
400,3,eL6
401,6,eL2/3
402,7,eL5
403,-1,NA
404,6,Oligo
405,3,Astro
406,-1,NA
407,0,Astro
408,0,eL5
409,2,eL4
410,6,eL6
411,9,Smc
412,-1,NA
413,2,eL4
414,-1,NA
415,1,eL4
416,3,NPY
417,0,eL5
418,0,VIP
419,2,eL2/3
420,0,PV
421,2,Astro
422,0,Endo
423,5,eL2/3
424,2,eL2/3
425,4,eL2/3
426,0,eL2/3
427,5,eL2/3
428,6,eL4
429,-1,NA
430,2,eL2/3
431,0,eL2/3
432,6,eL6
433,-1,NA
434,1,eL2/3
435,7,PV
436,10,eL4
437,0,VIP
438,2,Oligo
439,3,eL4
440,5,Endo
441,-1,NA
442,1,eL4
443,-1,NA
444,3,eL2/3
445,9,Astro
446,2,Smc
447,3,eL2/3
448,0,eL4
449,0,eL6
450,1,eL6
451,0,eL2/3
452,3,eL4
453,6,eL2/3
454,6,eL5
455,3,eL5
456,3,eL4
457,3,Oligo
458,0,eL6
459,3,eL6
460,11,eL4
461,0,eL5
