CellID,ClusterID,ClusterName
0,-1,NA
1,0,eL2/3
2,3,eL5
3,-1,NA
4,2,eL2/3
5,6,eL6
6,2,eL6
7,1,eL5
8,3,eL2/3
9,-1,NA
10,1,PV
11,-1,NA
12,-1,NA
13,11,eL5
14,-1,NA
15,3,eL4
16,6,eL6
17,1,eL5
18,2,Endo
19,-1,NA
20,-1,NA
21,-1,NA
22,3,eL4
23,2,eL5
24,5,Endo
25,7,SST
26,-1,NA
27,0,eL6
28,-1,NA
29,1,Endo
30,3,Oligo
31,3,eL2/3
32,6,eL6
33,7,eL6
34,0,eL2/3
35,-1,NA
36,-1,NA
37,-1,NA
38,1,eL5
39,1,eL6
40,1,eL4
41,1,eL5
42,-1,NA
43,0,eL6
44,1,eL4
45,1,eL4
46,0,eL5
47,3,SST
48,5,eL5
49,5,eL2/3
50,4,eL6
51,-1,NA
52,3,eL6
53,1,eL5
54,-1,NA
55,3,SST
56,0,PV
57,1,eL4
58,2,Smc
59,-1,NA
60,2,NPY
61,2,SST
62,-1,NA
63,1,eL6
64,11,Endo
65,2,eL2/3
66,10,eL2/3
67,3,eL4
68,0,eL6
69,-1,NA
70,1,eL4
71,1,eL2/3
72,-1,NA
73,2,SST
74,2,eL6
75,0,eL5
76,-1,NA
77,-1,NA
78,1,Oligo
79,0,eL4
80,1,eL5
81,-1,NA
82,-1,NA
83,0,eL4
84,3,Oligo
85,8,eL6
86,0,eL2/3
87,3,NPY
88,0,eL6
89,1,eL6
90,-1,NA
91,-1,NA
92,6,eL6
93,2,eL2/3
94,2,PV
95,1,eL4
96,-1,NA
97,-1,NA
98,-1,NA
99,-1,NA
100,-1,NA
101,1,eL6
102,2,eL4
103,-1,NA
104,5,eL6
105,1,PV
106,6,eL4
107,3,eL5
108,3,Oligo
109,3,eL6
110,7,eL6
111,4,eL2/3
112,1,eL4
113,1,eL2/3
114,-1,NA
115,-1,NA
116,3,eL2/3
117,-1,NA
118,2,eL6
119,3,Smc
120,-1,NA
121,1,SST
122,6,eL4
123,4,eL4
124,-1,NA
125,1,eL4
126,0,Oligo
127,6,eL6
128,-1,NA
129,-1,NA
130,0,eL2/3
131,2,NPY
132,7,Oligo
133,-1,NA
134,0,Endo
135,1,VIP
136,9,eL6
137,1,eL4
138,7,eL6
139,2,Endo
140,3,eL2/3
141,-1,NA
142,3,eL5
143,7,eL5
144,-1,NA
145,-1,NA
146,3,Astro
147,-1,NA
148,1,eL2/3
149,-1,NA
150,5,eL4
151,1,eL2/3
152,3,eL4
153,5,eL5
154,6,eL6
155,0,eL6
156,0,eL4
157,1,eL2/3
158,9,eL2/3
159,3,Oligo
160,7,eL2/3
161,3,Smc
162,2,eL6
163,5,eL5
164,1,eL5
165,11,eL4
166,4,PV
167,2,eL6
168,3,eL6
169,4,eL4
170,7,eL5
171,7,Astro
172,5,eL5
173,7,eL6
174,7,eL2/3
175,1,eL6
176,-1,NA
177,1,eL5
178,3,eL5
179,-1,NA
180,0,SST
181,-1,NA
182,-1,NA
183,0,eL5
184,0,eL5
185,2,eL4
186,1,Smc
187,-1,NA
188,1,eL6
189,3,eL2/3
190,4,eL6
191,2,Endo
192,3,Smc
193,-1,NA
194,6,SST
195,-1,NA
196,0,eL4
197,1,eL6
198,3,Smc
199,1,SST
200,-1,NA
201,-1,NA
202,-1,NA
203,2,Endo
204,1,eL2/3
205,0,eL5
206,2,eL6
207,-1,NA
208,6,eL2/3
209,3,Astro
210,4,eL2/3
211,-1,NA
212,3,eL6
213,5,Smc
