CellID,ClusterID,ClusterName
0,11,eL6-2
1,3,Astro
2,6,Reln
3,13,eL2/3
4,-1,NA
5,11,eL5-2
6,13,Smc
7,13,Smc
8,11,Smc
9,1,Smc
10,11,Astro
11,11,Endo
12,13,Smc
13,11,Astro
14,11,Astro
15,-1,NA
16,5,Smc
17,11,Astro
18,11,Astro
19,11,Oligo
20,0,Astro
21,-1,NA
22,11,Endo
23,14,Astro
24,13,Smc
25,11,Astro
26,-1,NA
27,11,Astro
28,14,Astro
29,0,Endo
30,11,Smc
31,7,Astro
32,11,Astro
33,13,Oligo
34,11,Astro
35,-1,NA
36,11,Smc
37,7,Oligo
38,-1,NA
39,0,Reln
40,11,Astro
41,0,Smc
42,0,Astro
43,0,Smc
44,11,Astro
45,11,Smc
46,11,Oligo
47,0,Smc
48,0,Smc
49,7,Astro
50,0,Reln
51,7,Reln
52,0,Astro
53,0,Astro
54,0,Astro
55,11,Smc
56,11,Astro
57,0,Smc
58,10,Astro
59,11,Smc
60,-1,NA
61,-1,NA
62,11,Astro
63,0,Smc
64,0,Astro
65,-1,NA
66,0,Astro
67,0,Endo
68,7,Smc
69,0,Astro
70,-1,NA
71,0,Smc
72,-1,NA
73,0,Astro
74,11,Astro
75,0,Astro
76,-1,NA
77,0,Smc
78,0,Oligo
79,-1,NA
80,-1,NA
81,3,Smc
82,0,Smc
83,0,Astro
84,-1,NA
85,0,Astro
86,11,Astro
87,0,Endo
88,0,Smc
89,0,Astro
90,11,Endo
91,7,Astro
92,-1,NA
93,0,Endo
94,0,Astro
95,0,Smc
96,1,Smc
97,11,Smc
98,0,VIP
99,1,Astro
100,0,eL5-2
101,0,L5-1
102,0,eL5-3
103,0,Smc
104,3,Smc
105,-1,NA
106,12,eL2/3
107,0,eL2/3
108,0,Astro
109,0,L5-1
110,0,Reln
111,-1,NA
112,0,eL2/3
113,0,eL2/3
114,0,eL2/3
115,6,eL2/3
116,0,eL2/3
117,6,eL2/3
118,11,eL2/3
119,0,eL2/3
120,0,eL2/3
121,2,Astro
122,0,eL2/3
123,0,eL2/3
124,0,Astro
125,0,eL2/3
126,0,eL2/3
127,1,eL2/3
128,0,eL2/3
129,2,eL2/3
130,0,eL2/3
131,0,eL2/3
132,0,VIP
133,0,eL2/3
134,0,eL2/3
135,0,eL5-2
136,13,eL2/3
137,0,eL2/3
138,8,VIP
