CellID,ClusterID,ClusterName
0,-1,NA
1,-1,NA
2,-1,NA
3,-1,NA
4,-1,NA
5,-1,NA
6,-1,NA
7,-1,NA
8,1,eL6-2
9,5,eL4
10,-1,NA
11,-1,NA
12,11,eL2/3
13,-1,NA
14,4,eL6-2
15,1,eL5
16,13,eL6-1
17,-1,NA
18,-1,NA
19,10,eL6-1
20,12,eL6-2
21,14,eL6-1
22,7,Micro
23,6,eL4
24,5,eL2/3
25,10,eL2/3
26,4,eL4
27,2,eL2/3
28,1,eL6-1
29,1,Endo
30,7,Oligo
31,-1,NA
32,9,Astro-2
33,2,eL6-2
34,4,eL5
35,5,eL4
36,7,eL6-2
37,10,eL4
38,-1,NA
39,2,eL2/3
40,8,Endo
41,5,eL2/3
42,12,eL5
43,6,eL4
44,8,Micro
45,-1,NA
46,3,eL4
47,3,Astro-2
48,5,eL5
49,11,eL4
50,8,Oligo
51,13,eL6-2
52,1,PVALB
53,2,eL5
54,5,Oligo
55,5,Oligo
56,7,eL2/3
57,-1,NA
58,-1,NA
59,12,eL4
60,3,Micro
61,11,eL2/3
62,5,Endo
63,4,eL2/3
64,15,eL6-2
65,-1,NA
66,12,eL2/3
67,2,Astro-2
68,11,Oligo
69,6,eL6-2
70,8,eL4
71,5,Oligo
72,-1,NA
73,0,eL6-2
74,-1,NA
75,8,eL5
76,10,eL4
77,1,eL2/3
78,11,eL6-2
79,8,Astro-2
80,2,eL6-1
81,5,Micro
82,-1,NA
83,-1,NA
84,3,eL5
85,2,Oligo
86,1,HPC
87,4,eL2/3
88,1,Oligo
89,5,VIP
90,-1,NA
91,11,Oligo
92,10,eL4
93,5,eL4
94,2,eL6-2
95,2,eL4
96,11,eL6-2
97,-1,NA
98,5,eL5
99,1,eL4
100,5,eL6-2
101,6,eL4
102,5,eL2/3
103,0,Astro-2
104,3,eL2/3
105,5,eL4
106,2,eL4
107,5,Oligo
108,-1,NA
109,2,eL6-2
110,3,HPC
111,-1,NA
112,3,eL6-2
113,2,PVALB
114,8,eL6-1
115,5,Oligo
116,7,eL4
117,13,eL4
118,7,VIP
119,-1,NA
120,5,eL6-1
121,8,Oligo
122,10,SST
123,1,SST
124,10,eL6-1
125,1,eL2/3
126,1,eL4
127,-1,NA
128,2,eL2/3
129,-1,NA
130,2,SST
131,8,Oligo
132,-1,NA
133,5,Astro-2
134,8,Endo
135,-1,NA
136,-1,NA
137,2,eL6-2
138,5,eL6-1
139,3,eL5
140,-1,NA
141,6,eL5
142,8,Micro
143,8,SST
144,10,eL2/3
145,4,eL4
146,13,Oligo
147,2,Endo
148,2,eL2/3
149,5,Oligo
150,7,Astro-2
151,4,eL6-2
152,2,eL2/3
153,6,eL6-1
154,5,eL6-2
155,1,eL2/3
156,5,eL5
157,-1,NA
158,13,Oligo
159,7,eL6-1
160,-1,NA
161,8,eL5
162,1,Oligo
163,1,Micro
164,2,Endo
165,8,Endo
166,5,SST
167,11,eL6-2
168,8,Micro
169,-1,NA
170,15,eL6-1
171,11,Endo
172,2,eL6-1
173,13,Endo
174,-1,NA
175,1,Endo
176,0,eL6-1
177,11,Micro
178,2,Oligo
179,6,eL6-1
180,8,Astro-2
181,8,eL6-2
182,7,eL5
183,8,eL4
184,8,eL2/3
185,2,Micro
186,1,Endo
187,3,eL6-1
188,-1,NA
189,2,Endo
190,8,eL4
191,8,eL6-1
192,7,Micro
193,0,Reln
194,10,Reln
195,7,Astro-2
196,10,Astro-2
197,10,eL6-2
198,2,eL6-1
199,10,Astro-2
200,15,Endo
201,-1,NA
202,8,Oligo
203,5,eL6-2
204,11,eL5
205,1,PVALB
206,0,Endo
207,8,Endo
208,4,Endo
209,2,eL2/3
210,8,eL5
211,2,Endo
212,-1,NA
213,10,Endo
214,1,eL4
215,5,Endo
216,2,eL2/3
217,7,eL6-2
218,7,Endo
219,2,eL4
220,1,eL6-2
221,15,eL2/3
222,5,eL2/3
223,2,eL6-1
224,5,Endo
225,2,eL5
226,1,eL6-2
227,13,eL4
228,7,Astro-2
229,7,eL6-2
230,-1,NA
231,-1,NA
232,9,eL6-2
233,8,Astro-2
234,1,eL6-1
235,11,SST
236,6,Reln
237,11,eL2/3
238,7,Astro-2
239,-1,NA
240,2,Endo
241,11,eL2/3
242,9,Endo
243,2,eL2/3
244,-1,NA
245,-1,NA
246,-1,NA
247,5,Endo
248,-1,NA
249,1,Endo
250,-1,NA
251,11,Astro-1
252,5,eL2/3
253,3,Oligo
254,5,eL6-1
255,13,eL6-1
256,13,eL6-1
257,2,Astro-2
258,11,Endo
259,12,eL6-2
260,8,Endo
261,14,eL5
262,1,eL6-1
263,12,Endo
264,2,Oligo
265,1,eL5
266,2,Oligo
267,0,Oligo
268,2,eL6-2
269,13,Astro-2
270,10,eL6-1
271,8,eL2/3
272,-1,NA
273,2,eL6-2
274,12,Oligo
275,7,Endo
276,12,Oligo
277,2,VIP
278,8,Astro-1
279,11,eL6-2
280,7,Micro
281,-1,NA
282,1,eL6-2
283,2,Endo
284,8,Endo
285,13,Oligo
286,-1,NA
287,6,eL2/3
288,0,Oligo
289,8,Astro-2
290,7,eL2/3
291,2,eL6-1
292,10,Astro-2
293,-1,NA
294,10,Endo
295,2,Oligo
296,1,Endo
297,-1,NA
298,1,SST
299,7,eL2/3
300,1,Endo
301,11,Oligo
302,8,eL4
303,-1,NA
304,-1,NA
305,7,eL6-1
306,6,eL2/3
307,0,Endo
308,2,Endo
309,1,eL2/3
310,8,eL6-2
311,13,Endo
312,8,Endo
313,-1,NA
314,9,eL6-2
315,10,VIP
316,13,Micro
317,0,Astro-1
318,15,Micro
319,7,Oligo
320,10,eL6-2
321,-1,NA
322,10,Endo
323,7,Astro-2
324,11,eL6-2
325,8,eL4
326,-1,NA
327,5,eL6-2
328,0,eL6-2
329,1,eL4
330,0,eL2/3
331,4,Endo
332,11,Oligo
333,8,Oligo
334,-1,NA
335,2,eL6-2
336,-1,NA
337,11,eL6-2
338,8,eL5
339,1,Astro-2
340,2,Micro
341,10,PVALB
342,6,eL6-1
343,-1,NA
344,8,Oligo
345,-1,NA
346,7,eL6-2
347,11,Endo
348,8,Endo
349,11,eL4
350,8,eL4
351,2,Oligo
352,2,Endo
353,11,eL4
354,-1,NA
355,0,eL6-2
356,4,eL4
357,8,eL4
358,2,eL4
359,-1,NA
360,1,eL6-2
361,8,Astro-1
362,7,Astro-2
363,-1,NA
364,9,Astro-2
365,5,eL2/3
366,2,eL5
367,2,Reln
368,5,eL5
369,10,eL2/3
370,5,Smc
371,11,Astro-2
372,11,PVALB
373,1,eL4
374,8,Endo
375,-1,NA
376,13,eL4
377,14,eL5
378,2,Oligo
379,12,PVALB
380,6,VIP
381,5,eL5
382,13,eL2/3
383,0,Astro-2
384,11,eL6-2
385,8,Oligo
386,10,eL4
387,1,eL2/3
388,15,eL5
389,0,eL4
390,14,eL6-1
391,7,eL2/3
392,8,eL4
393,-1,NA
394,1,Endo
395,1,eL2/3
396,6,eL5
397,3,HPC
398,0,Micro
399,5,eL6-1
400,1,Oligo
401,-1,NA
402,10,Oligo
403,7,Astro-1
404,3,Oligo
405,2,eL6-2
406,2,Oligo
407,0,Micro
408,8,eL4
409,10,eL6-2
410,7,eL6-2
411,11,HPC
412,8,eL4
413,8,eL6-1
414,5,Oligo
415,-1,NA
416,2,PVALB
417,2,eL6-1
418,1,eL6-1
419,2,Micro
420,10,eL6-2
421,10,eL5
422,11,Astro-2
423,6,Micro
424,2,HPC
425,1,eL5
426,-1,NA
427,2,eL6-1
428,7,eL2/3
429,8,eL2/3
430,4,Astro-2
431,-1,NA
432,5,eL2/3
433,4,eL6-2
434,11,Micro
435,3,Endo
436,0,Astro-2
437,6,PVALB
438,5,Endo
439,11,Oligo
440,8,Astro-2
441,0,eL6-2
442,3,Astro-1
443,1,VIP
444,-1,NA
445,1,Endo
446,8,eL4
447,4,SST
448,8,eL6-2
449,7,eL4
450,2,Oligo
451,4,eL6-1
452,2,Astro-2
453,11,eL2/3
454,1,Astro-2
455,8,Astro-2
456,5,VIP
457,10,Endo
458,10,Astro-2
459,1,eL4
460,4,Oligo
461,12,Oligo
462,2,VIP
463,8,Oligo
464,1,eL2/3
465,11,Oligo
466,1,SST
467,14,Endo
468,-1,NA
469,5,eL4
470,2,Oligo
471,3,PVALB
472,0,eL2/3
473,1,eL6-2
474,-1,NA
475,1,eL6-2
476,1,Micro
477,4,eL2/3
478,-1,NA
479,15,eL4
480,3,PVALB
481,3,eL6-2
482,7,HPC
483,6,SST
484,0,eL6-2
485,0,eL6-1
486,8,PVALB
487,4,eL2/3
488,3,eL4
489,-1,NA
490,-1,NA
491,-1,NA
492,0,Oligo
493,8,eL2/3
494,8,Oligo
495,8,eL4
496,2,eL2/3
497,13,Micro
498,-1,NA
499,0,eL6-2
500,1,Astro-2
501,-1,NA
502,2,Reln
503,6,eL6-2
504,5,eL4
505,3,eL5
506,1,eL4
507,7,Oligo
508,12,eL4
509,2,eL6-2
510,8,eL2/3
511,2,eL6-2
512,-1,NA
513,1,eL6-1
514,5,eL2/3
515,6,eL4
516,12,Endo
517,7,Oligo
518,8,eL2/3
519,11,Astro-1
520,1,eL4
521,7,Endo
522,7,eL2/3
523,8,eL6-2
524,5,eL6-2
525,-1,NA
526,3,Endo
527,11,Astro-2
528,9,eL4
529,1,eL4
530,5,eL4
531,1,eL4
532,-1,NA
533,0,eL6-2
534,7,Oligo
535,8,eL4
536,8,Astro-2
537,5,Oligo
538,4,eL5
539,1,eL4
540,2,eL6-2
541,2,eL4
542,-1,NA
543,1,eL2/3
544,6,HPC
545,-1,NA
546,15,eL2/3
547,5,eL6-2
548,13,eL4
549,1,Oligo
550,5,Endo
551,6,eL4
552,8,Endo
553,5,VIP
554,4,eL5
555,2,eL4
556,1,eL4
557,8,eL4
558,11,eL6-1
559,0,Astro-2
560,8,Astro-2
561,2,Endo
562,2,eL4
563,11,Astro-2
564,0,eL2/3
565,8,eL6-2
