CellID,ClusterID,ClusterName
0,11,VIP
1,-1,NA
2,3,Smc
3,-1,NA
4,6,Smc
5,-1,NA
6,-1,NA
7,-1,NA
8,13,Astro
9,-1,NA
10,-1,NA
11,11,Endo
12,13,Reln
13,13,Astro
14,11,Reln
15,-1,NA
16,-1,NA
17,1,Endo
18,11,Reln
19,-1,NA
20,11,Smc
21,-1,NA
22,13,NPY
23,11,Astro
24,-1,NA
25,-1,NA
26,11,Endo
27,-1,NA
28,-1,NA
29,5,Astro
30,11,Endo
31,11,Reln
32,-1,NA
33,11,Smc
34,0,Endo
35,11,Endo
36,-1,NA
37,-1,NA
38,-1,NA
39,14,Endo
40,13,eL5-3
41,11,Reln
42,11,Reln
43,14,Astro
44,-1,NA
45,0,Smc
46,11,Astro
47,-1,NA
48,-1,NA
49,7,Smc
50,11,Reln
51,13,Reln
52,-1,NA
53,-1,NA
54,-1,NA
55,-1,NA
56,-1,NA
57,-1,NA
58,11,Astro
59,-1,NA
60,-1,NA
61,-1,NA
62,-1,NA
63,-1,NA
64,11,Astro
65,-1,NA
66,7,Astro
67,-1,NA
68,-1,NA
69,0,Astro
70,-1,NA
71,11,Astro
72,-1,NA
73,0,Smc
74,0,Smc
75,-1,NA
76,0,Astro
77,11,Endo
78,11,Astro
79,11,Astro
80,0,Astro
81,0,Astro
82,7,Smc
83,0,Smc
84,-1,NA
85,7,Smc
86,0,Endo
87,-1,NA
88,-1,NA
89,0,Endo
90,-1,NA
91,-1,NA
92,0,Reln
93,11,Oligo
94,-1,NA
95,11,Endo
96,0,Endo
97,-1,NA
98,10,Smc
99,-1,NA
100,-1,NA
101,11,Oligo
102,-1,NA
103,-1,NA
104,-1,NA
105,-1,NA
106,-1,NA
107,11,Endo
108,0,Endo
109,-1,NA
110,0,Astro
111,-1,NA
112,0,Endo
113,-1,NA
114,-1,NA
115,-1,NA
116,-1,NA
117,0,Endo
118,-1,NA
119,-1,NA
120,7,Endo
121,-1,NA
122,-1,NA
123,-1,NA
124,-1,NA
125,-1,NA
126,-1,NA
127,-1,NA
128,-1,NA
129,-1,NA
130,-1,NA
131,-1,NA
132,-1,NA
133,-1,NA
134,-1,NA
135,-1,NA
136,-1,NA
137,-1,NA
138,-1,NA
139,-1,NA
140,-1,NA
141,-1,NA
142,-1,NA
143,-1,NA
144,-1,NA
145,-1,NA
146,-1,NA
147,-1,NA
148,-1,NA
149,-1,NA
150,-1,NA
151,-1,NA
152,-1,NA
153,-1,NA
154,-1,NA
155,-1,NA
156,-1,NA
157,-1,NA
158,-1,NA
159,-1,NA
160,-1,NA
161,-1,NA
162,-1,NA
163,0,Endo
164,-1,NA
165,-1,NA
166,-1,NA
167,-1,NA
168,-1,NA
169,-1,NA
170,0,Endo
171,-1,NA
172,0,Endo
173,-1,NA
174,11,Astro
175,0,Astro
176,-1,NA
177,-1,NA
178,-1,NA
179,-1,NA
180,-1,NA
181,-1,NA
182,0,eL5-3
183,0,Endo
184,-1,NA
185,-1,NA
186,-1,NA
187,-1,NA
188,-1,NA
189,-1,NA
190,-1,NA
191,3,Endo
192,0,Lhx6
193,0,NPY
194,-1,NA
195,-1,NA
196,0,Endo
197,11,Astro
198,-1,NA
199,-1,NA
200,-1,NA
201,0,Reln
202,-1,NA
203,0,Endo
204,-1,NA
205,0,Endo
206,-1,NA
207,-1,NA
208,-1,NA
209,11,eL6-2
210,-1,NA
211,-1,NA
212,-1,NA
213,7,Astro
214,0,eL5-2
215,0,Endo
216,-1,NA
217,-1,NA
218,0,eL5-3
219,1,Reln
220,11,eL2/3
221,0,Astro
222,1,eL2/3
223,0,eL5-2
224,0,Astro
225,-1,NA
226,-1,NA
227,-1,NA
228,-1,NA
