CellID,ClusterID,ClusterName
0,-1,NA
1,-1,NA
2,-1,NA
3,11,Astro
4,-1,NA
5,-1,NA
6,-1,NA
7,-1,NA
8,3,eL5-3
9,6,VIP
10,-1,NA
11,-1,NA
12,13,Endo
13,11,Astro
14,13,Endo
15,13,Endo
16,-1,NA
17,11,Astro
18,1,L5-1
19,11,Astro
20,-1,NA
21,-1,NA
22,-1,NA
23,-1,NA
24,11,Astro
25,13,Endo
26,-1,NA
27,-1,NA
28,11,Astro
29,11,Astro
30,-1,NA
31,-1,NA
32,5,eL6-2
33,-1,NA
34,11,Astro
35,-1,NA
36,11,Astro
37,11,Astro
38,-1,NA
39,-1,NA
40,-1,NA
41,-1,NA
42,0,eL2/3
43,11,Astro
44,14,Smc
45,13,Endo
46,11,Astro
47,11,Astro
48,14,Smc
49,0,eL2/3
50,11,Astro
51,7,Reln
52,-1,NA
53,11,Astro
54,13,Endo
55,11,Astro
56,11,Astro
57,7,Reln
58,-1,NA
59,0,eL2/3
60,11,Astro
61,0,eL2/3
62,0,eL2/3
63,-1,NA
64,-1,NA
65,0,eL2/3
66,-1,NA
67,11,Astro
68,11,Astro
69,11,Astro
70,0,eL2/3
71,-1,NA
72,0,eL2/3
73,7,Reln
74,0,eL2/3
75,7,Reln
76,0,eL2/3
77,0,eL2/3
78,0,eL2/3
79,11,Astro
80,11,Astro
81,0,eL2/3
82,10,NPY
83,11,Astro
84,11,Astro
85,0,eL2/3
86,-1,NA
87,0,eL2/3
88,-1,NA
89,0,eL2/3
90,0,eL2/3
91,7,Reln
92,0,eL2/3
93,0,eL2/3
94,0,eL2/3
95,11,Astro
96,-1,NA
97,0,eL2/3
98,0,eL2/3
99,0,eL2/3
100,-1,NA
101,3,eL5-3
102,-1,NA
103,0,eL2/3
104,0,eL2/3
105,-1,NA
106,0,eL2/3
107,11,Astro
108,0,eL2/3
109,-1,NA
110,-1,NA
111,0,eL2/3
112,0,eL2/3
113,11,Astro
114,7,Reln
115,0,eL2/3
116,-1,NA
117,-1,NA
118,0,eL2/3
119,0,eL2/3
120,1,L5-1
121,11,Astro
122,0,eL2/3
123,1,L5-1
124,0,eL2/3
125,-1,NA
126,0,eL2/3
127,0,eL2/3
128,0,eL2/3
129,3,eL5-3
130,12,Oligo
131,0,eL2/3
132,0,eL2/3
133,0,eL2/3
134,0,eL2/3
135,0,eL2/3
136,0,eL2/3
137,0,eL2/3
138,6,VIP
139,-1,NA
140,0,eL2/3
141,6,VIP
142,11,Astro
143,0,eL2/3
144,0,eL2/3
145,2,eL5-2
146,0,eL2/3
147,0,eL2/3
148,0,eL2/3
149,0,eL2/3
150,0,eL2/3
151,1,L5-1
152,0,eL2/3
153,2,eL5-2
154,0,eL2/3
155,0,eL2/3
156,0,eL2/3
157,0,eL2/3
158,0,eL2/3
159,0,eL2/3
160,13,Endo
161,0,eL2/3
162,8,SST
163,0,eL2/3
164,0,eL2/3
165,0,eL2/3
166,0,eL2/3
167,0,eL2/3
168,0,eL2/3
169,14,Smc
170,0,eL2/3
171,0,eL2/3
172,8,SST
173,0,eL2/3
174,4,eL6-1
175,11,Astro
176,0,eL2/3
177,1,L5-1
178,0,eL2/3
179,0,eL2/3
180,11,Astro
181,0,eL2/3
182,0,eL2/3
183,0,eL2/3
184,7,Reln
185,0,eL2/3
186,0,eL2/3
187,13,Endo
188,0,eL2/3
189,0,eL2/3
190,6,VIP
191,1,L5-1
192,0,eL2/3
193,0,eL2/3
194,0,eL2/3
195,0,eL2/3
196,3,eL5-3
197,11,Astro
198,0,eL2/3
199,0,eL2/3
200,12,Oligo
201,0,eL2/3
202,0,eL2/3
203,0,eL2/3
204,0,eL2/3
205,0,eL2/3
206,11,Astro
207,2,eL5-2
208,2,eL5-2
209,0,eL2/3
210,8,SST
211,0,eL2/3
212,6,VIP
213,3,eL5-3
214,9,Lhx6
215,0,eL2/3
216,1,L5-1
217,1,L5-1
218,0,eL2/3
219,0,eL2/3
220,0,eL2/3
221,0,eL2/3
222,1,L5-1
223,9,Lhx6
224,13,Endo
225,2,eL5-2
226,14,Smc
227,0,eL2/3
228,9,Lhx6
229,0,eL2/3
230,3,eL5-3
231,0,eL2/3
232,2,eL5-2
233,1,L5-1
234,8,SST
235,0,eL2/3
236,2,eL5-2
237,-1,NA
238,2,eL5-2
239,0,eL2/3
240,-1,NA
241,-1,NA
242,2,eL5-2
243,2,eL5-2
244,0,eL2/3
245,8,SST
246,0,eL2/3
247,0,eL2/3
248,2,eL5-2
249,2,eL5-2
250,1,L5-1
251,-1,NA
252,2,eL5-2
253,0,eL2/3
254,8,SST
255,-1,NA
256,-1,NA
257,3,eL5-3
258,2,eL5-2
259,3,eL5-3
260,3,eL5-3
261,-1,NA
262,1,L5-1
263,9,Lhx6
264,2,eL5-2
265,0,eL2/3
266,-1,NA
267,-1,NA
268,14,Smc
269,3,eL5-3
270,3,eL5-3
271,8,SST
272,3,eL5-3
273,13,Endo
274,1,L5-1
275,1,L5-1
276,3,eL5-3
277,3,eL5-3
278,3,eL5-3
279,0,eL2/3
280,0,eL2/3
281,3,eL5-3
282,0,eL2/3
283,6,VIP
284,3,eL5-3
285,3,eL5-3
286,2,eL5-2
287,2,eL5-2
288,1,L5-1
289,-1,NA
290,2,eL5-2
291,9,Lhx6
292,2,eL5-2
293,4,eL6-1
294,2,eL5-2
295,2,eL5-2
296,1,L5-1
297,1,L5-1
298,13,Endo
299,1,L5-1
300,3,eL5-3
301,9,Lhx6
302,0,eL2/3
303,-1,NA
304,7,Reln
305,8,SST
306,3,eL5-3
307,1,L5-1
308,13,Endo
309,1,L5-1
310,0,eL2/3
311,1,L5-1
312,2,eL5-2
313,2,eL5-2
314,3,eL5-3
315,-1,NA
316,0,eL2/3
317,13,Endo
318,6,VIP
319,2,eL5-2
320,1,L5-1
321,1,L5-1
322,3,eL5-3
323,2,eL5-2
324,3,eL5-3
325,3,eL5-3
326,0,eL2/3
327,5,eL6-2
328,3,eL5-3
329,2,eL5-2
330,11,Astro
331,11,Astro
332,1,L5-1
333,3,eL5-3
334,13,Endo
335,3,eL5-3
336,1,L5-1
337,3,eL5-3
338,3,eL5-3
339,7,Reln
340,2,eL5-2
341,3,eL5-3
342,1,L5-1
343,1,L5-1
344,3,eL5-3
345,11,Astro
346,2,eL5-2
347,3,eL5-3
348,11,Astro
349,14,Smc
350,9,Lhx6
351,13,Endo
352,1,L5-1
353,14,Smc
354,11,Astro
355,0,eL2/3
356,3,eL5-3
357,1,L5-1
358,3,eL5-3
359,3,eL5-3
360,1,L5-1
361,-1,NA
362,8,SST
363,8,SST
364,3,eL5-3
365,11,Astro
366,3,eL5-3
367,3,eL5-3
368,12,Oligo
369,9,Lhx6
370,3,eL5-3
371,13,Endo
372,1,L5-1
373,9,Lhx6
374,-1,NA
375,3,eL5-3
376,3,eL5-3
377,2,eL5-2
378,3,eL5-3
379,3,eL5-3
380,3,eL5-3
381,10,NPY
382,-1,NA
383,2,eL5-2
384,-1,NA
385,3,eL5-3
386,11,Astro
387,3,eL5-3
388,3,eL5-3
389,3,eL5-3
390,1,L5-1
391,8,SST
392,2,eL5-2
393,2,eL5-2
394,3,eL5-3
395,1,L5-1
396,0,eL2/3
397,3,eL5-3
398,3,eL5-3
399,4,eL6-1
400,8,SST
401,3,eL5-3
402,3,eL5-3
403,12,Oligo
404,1,L5-1
405,3,eL5-3
406,3,eL5-3
407,3,eL5-3
408,3,eL5-3
409,-1,NA
410,1,L5-1
411,3,eL5-3
412,3,eL5-3
413,3,eL5-3
414,7,Reln
415,-1,NA
416,2,eL5-2
417,13,Endo
418,3,eL5-3
419,0,eL2/3
420,3,eL5-3
421,2,eL5-2
422,2,eL5-2
423,8,SST
424,3,eL5-3
425,5,eL6-2
426,3,eL5-3
427,2,eL5-2
428,7,Reln
429,3,eL5-3
430,3,eL5-3
431,13,Endo
432,1,L5-1
433,3,eL5-3
434,3,eL5-3
435,11,Astro
436,3,eL5-3
437,3,eL5-3
438,3,eL5-3
439,2,eL5-2
440,3,eL5-3
441,3,eL5-3
442,13,Endo
443,3,eL5-3
444,14,Smc
445,14,Smc
446,11,Astro
447,9,Lhx6
448,3,eL5-3
449,1,L5-1
450,-1,NA
451,3,eL5-3
452,13,Endo
453,0,eL2/3
454,2,eL5-2
455,4,eL6-1
456,1,L5-1
457,14,Smc
458,9,Lhx6
459,3,eL5-3
460,3,eL5-3
461,3,eL5-3
462,3,eL5-3
463,1,L5-1
464,1,L5-1
465,9,Lhx6
466,9,Lhx6
467,11,Astro
468,3,eL5-3
469,11,Astro
470,13,Endo
471,3,eL5-3
472,3,eL5-3
473,13,Endo
474,1,L5-1
475,4,eL6-1
476,4,eL6-1
477,3,eL5-3
478,2,eL5-2
479,6,VIP
480,3,eL5-3
481,4,eL6-1
482,3,eL5-3
483,6,VIP
484,3,eL5-3
485,3,eL5-3
486,1,L5-1
487,3,eL5-3
488,4,eL6-1
489,3,eL5-3
490,8,SST
491,3,eL5-3
492,3,eL5-3
493,5,eL6-2
494,2,eL5-2
495,3,eL5-3
496,14,Smc
497,10,NPY
498,1,L5-1
499,3,eL5-3
500,9,Lhx6
501,1,L5-1
502,-1,NA
503,11,Astro
504,2,eL5-2
505,1,L5-1
506,-1,NA
507,3,eL5-3
508,12,Oligo
509,1,L5-1
510,3,eL5-3
511,8,SST
512,1,L5-1
513,3,eL5-3
514,3,eL5-3
515,11,Astro
516,14,Smc
517,8,SST
518,14,Smc
519,1,L5-1
520,11,Astro
521,2,eL5-2
522,11,Astro
523,3,eL5-3
524,3,eL5-3
525,3,eL5-3
526,3,eL5-3
527,3,eL5-3
528,14,Smc
529,4,eL6-1
530,1,L5-1
531,3,eL5-3
532,3,eL5-3
533,13,Endo
534,10,NPY
535,-1,NA
536,5,eL6-2
537,1,L5-1
538,8,SST
539,1,L5-1
540,14,Smc
541,2,eL5-2
542,11,Astro
543,3,eL5-3
544,3,eL5-3
