CellID,ClusterID,ClusterName
0,-1,NA
1,-1,NA
2,0,eL4
3,3,VIP
4,-1,NA
5,2,Smc
6,6,Smc
7,2,eL5
8,1,eL4
9,-1,NA
10,3,PV
11,1,eL6
12,11,Endo
13,3,eL4
14,-1,NA
15,6,eL5
16,1,eL4
17,2,eL6
18,3,eL2/3
19,2,Smc
20,5,eL5
21,7,Smc
22,0,PV
23,1,Astro
24,3,eL2/3
25,3,Astro
26,6,eL4
27,7,eL6
28,0,eL2/3
29,1,eL2/3
30,1,eL2/3
31,1,eL5
32,1,Astro
33,0,eL5
34,1,eL6
35,1,eL4
36,0,eL5
37,3,Astro
38,-1,NA
39,5,eL4
40,5,Smc
41,4,eL4
42,3,Smc
43,1,Smc
44,3,eL2/3
45,0,eL4
46,1,eL5
47,2,eL6
48,2,eL4
49,2,PV
50,1,Smc
51,11,eL2/3
52,2,Astro
53,10,Smc
54,3,eL2/3
55,-1,NA
56,0,eL6
57,1,eL4
58,1,eL5
59,2,eL2/3
60,2,eL4
61,0,Endo
62,1,eL2/3
63,0,PV
64,-1,NA
65,1,eL4
66,0,Smc
67,3,Astro
68,8,eL5
69,0,Smc
70,3,eL6
71,0,eL6
72,1,PV
73,-1,NA
74,6,eL4
75,2,eL5
76,2,Endo
77,1,eL2/3
78,-1,NA
79,1,eL4
80,2,NPY
81,5,eL2/3
82,-1,NA
83,1,eL4
84,6,eL5
85,3,VIP
86,3,Smc
87,3,eL4
88,7,eL4
89,4,Oligo
90,1,eL2/3
91,1,eL4
92,3,eL4
93,2,Endo
94,3,eL6
95,1,eL6
96,6,eL4
97,4,eL6
98,1,eL2/3
99,-1,NA
100,0,eL4
101,6,eL6
102,0,eL2/3
103,2,eL4
104,7,PV
105,0,eL4
106,-1,NA
107,1,eL4
108,9,eL4
109,1,eL5
110,7,eL6
111,-1,NA
112,2,Smc
113,3,Astro
114,3,VIP
115,7,eL6
116,3,eL2/3
117,1,eL4
118,5,eL4
119,1,Smc
120,3,eL5
121,5,eL4
122,6,eL4
123,0,eL4
124,0,eL6
125,1,eL2/3
126,9,eL6
127,-1,NA
128,3,eL4
129,-1,NA
130,7,Smc
131,-1,NA
132,3,eL2/3
133,2,eL2/3
134,5,VIP
135,1,VIP
136,11,Oligo
137,4,eL2/3
138,2,VIP
139,-1,NA
140,3,Endo
141,4,eL4
142,7,eL4
143,-1,NA
144,7,eL4
145,5,Smc
146,7,eL6
147,7,eL2/3
148,1,eL4
149,1,Astro
150,3,eL2/3
151,0,eL6
152,0,eL2/3
153,0,eL5
154,2,eL2/3
155,1,eL2/3
156,1,eL4
157,3,eL4
158,4,Smc
159,2,Smc
160,3,eL5
161,6,eL6
162,0,VIP
163,1,PV
164,3,VIP
165,-1,NA
166,1,SST
167,2,eL6
168,1,Smc
169,0,eL4
170,2,SST
171,-1,NA
172,6,eL4
173,-1,NA
174,3,eL5
175,4,eL6
176,3,eL6
177,5,eL4
178,-1,NA
179,1,PV
180,1,eL5
181,7,SST
182,0,eL5
183,1,SST
184,0,eL6
185,3,eL2/3
186,1,eL4
187,0,Endo
188,0,eL2/3
189,2,eL2/3
190,0,Oligo
191,2,PV
192,3,eL5
193,-1,NA
194,7,SST
195,2,eL6
196,2,eL6
197,2,Smc
198,4,eL6
199,8,eL2/3
200,1,eL4
201,5,Oligo
202,5,eL2/3
203,1,eL6
204,1,eL4
205,0,eL5
206,7,eL4
207,7,eL4
208,3,eL6
209,3,eL2/3
210,2,eL4
211,0,PV
212,0,eL4
213,2,Smc
214,0,PV
215,9,eL6
216,0,eL4
217,1,eL6
218,-1,NA
219,0,PV
220,3,eL6
221,0,eL2/3
222,7,eL4
223,2,eL6
224,-1,NA
225,-1,NA
226,4,Oligo
227,8,Smc
228,0,eL2/3
229,-1,NA
230,0,Endo
231,7,PV
232,-1,NA
233,-1,NA
234,1,eL6
235,-1,NA
236,3,eL4
237,2,PV
238,2,eL2/3
239,-1,NA
240,1,eL2/3
241,7,eL2/3
242,3,Astro
243,7,eL6
244,2,PV
245,-1,NA
246,-1,NA
247,3,Smc
248,5,Endo
249,-1,NA
250,-1,NA
251,3,eL5
252,0,Smc
253,7,eL2/3
254,-1,NA
255,-1,NA
256,3,eL4
257,0,eL4
258,0,Astro
259,10,eL2/3
260,1,PV
261,3,eL6
262,5,Endo
263,3,eL4
264,1,eL6
265,1,eL4
266,0,eL4
267,2,eL2/3
268,-1,NA
269,0,eL2/3
270,-1,NA
271,-1,NA
272,1,eL4
273,2,eL2/3
274,0,eL6
275,6,eL6
276,2,eL2/3
277,3,PV
278,1,eL2/3
279,-1,NA
280,1,eL4
281,-1,NA
282,-1,NA
283,11,eL2/3
284,3,Endo
285,9,eL6
286,0,eL4
287,3,eL4
288,4,eL6
289,0,eL5
290,0,Endo
291,-1,NA
292,-1,NA
293,0,eL2/3
294,4,eL5
295,0,eL4
296,2,eL6
297,-1,NA
298,-1,NA
299,-1,NA
300,-1,NA
301,3,eL4
302,1,eL2/3
303,3,eL5
304,2,eL4
305,0,eL4
306,9,eL4
307,3,eL5
308,-1,NA
309,1,eL2/3
310,2,eL2/3
311,-1,NA
312,3,Endo
313,-1,NA
314,-1,NA
315,0,eL2/3
316,0,eL4
317,1,Astro
318,3,eL2/3
319,-1,NA
320,5,PV
321,-1,NA
322,3,NPY
323,-1,NA
324,3,eL5
325,-1,NA
326,1,eL2/3
327,1,eL2/3
328,-1,NA
329,6,eL4
330,7,eL6
331,2,eL2/3
332,9,eL4
333,3,eL4
334,9,eL6
335,-1,NA
336,-1,NA
337,-1,NA
338,1,eL5
339,-1,NA
340,6,eL5
341,1,eL2/3
342,3,eL4
343,1,eL4
344,3,PV
345,3,eL4
346,3,SST
347,1,eL4
348,7,eL6
349,3,eL6
350,-1,NA
351,0,eL5
352,-1,NA
353,-1,NA
354,6,eL4
355,3,Smc
356,-1,NA
357,6,eL2/3
358,2,eL4
359,-1,NA
360,4,VIP
361,0,NPY
362,2,eL6
363,3,eL6
364,-1,NA
365,6,eL2/3
366,1,SST
367,1,eL2/3
368,0,Endo
369,-1,NA
370,6,eL6
371,0,eL4
372,-1,NA
373,2,NPY
374,-1,NA
375,4,eL4
376,-1,NA
377,11,eL4
378,0,eL4
379,2,eL4
380,5,eL6
381,10,VIP
382,5,eL6
383,1,Astro
384,-1,NA
385,-1,NA
386,9,eL5
387,-1,NA
388,0,eL4
389,-1,NA
390,8,eL5
391,6,eL2/3
392,1,eL2/3
393,7,VIP
394,3,Endo
395,2,PV
396,1,eL6
397,-1,NA
398,-1,NA
399,2,VIP
400,3,eL4
401,2,eL4
402,0,eL6
403,-1,NA
404,6,eL4
405,1,PV
406,-1,NA
407,10,eL4
408,-1,NA
409,0,VIP
410,1,PV
411,-1,NA
412,4,eL6
413,-1,NA
414,1,eL2/3
415,-1,NA
416,6,eL6
417,-1,NA
418,3,SST
419,0,eL4
420,1,eL4
421,-1,NA
422,9,eL2/3
423,3,eL6
424,0,PV
425,1,eL2/3
426,1,eL2/3
427,3,VIP
428,6,eL5
429,7,Oligo
430,6,eL5
431,-1,NA
432,3,eL4
433,-1,NA
434,0,SST
435,0,eL2/3
436,-1,NA
437,2,eL6
438,-1,NA
439,6,eL4
440,9,eL4
441,2,eL4
442,1,NPY
443,-1,NA
444,-1,NA
445,3,SST
446,-1,NA
447,-1,NA
448,0,eL5
449,0,eL4
450,2,Astro
451,0,Endo
452,2,eL6
453,0,eL4
454,-1,NA
455,-1,NA
456,5,SST
457,2,eL4
458,4,eL4
459,0,eL5
460,5,Smc
461,6,eL4
462,2,eL2/3
463,-1,NA
464,0,eL2/3
465,6,eL5
466,-1,NA
467,1,eL6
468,7,eL4
469,10,eL4
470,0,eL2/3
471,-1,NA
472,2,eL6
473,3,Astro
474,5,SST
475,1,eL4
476,-1,NA
477,3,Astro
478,9,eL2/3
479,2,eL2/3
480,3,VIP
481,0,Astro
482,-1,NA
483,0,eL5
484,1,eL2/3
485,0,eL4
486,3,eL4
487,6,Oligo
488,6,eL5
489,3,Astro
490,-1,NA
491,3,eL5
492,3,Astro
493,0,Astro
494,3,eL2/3
495,11,eL6
496,0,SST
497,2,eL6
498,3,NPY
499,-1,NA
500,11,eL5
501,11,eL6
502,-1,NA
503,7,eL6
504,3,eL2/3
505,3,eL5
506,0,SST
507,7,eL2/3
508,3,eL4
509,5,eL5
510,3,eL4
511,2,eL4
512,3,Oligo
513,3,NPY
514,11,eL5
515,-1,NA
516,6,eL6
517,-1,NA
518,9,SST
519,4,eL2/3
520,1,eL4
521,-1,NA
522,10,eL4
523,-1,NA
524,1,eL2/3
525,1,eL2/3
526,0,eL6
527,6,eL5
528,7,eL5
529,2,eL6
530,3,eL5
531,2,eL2/3
532,-1,NA
533,2,eL5
534,-1,NA
535,0,eL4
536,2,eL2/3
537,-1,NA
538,1,eL4
539,3,eL5
540,-1,NA
541,0,eL6
542,11,eL4
543,1,eL2/3
544,1,eL6
545,1,eL4
546,2,eL5
547,0,eL2/3
548,1,eL6
549,-1,NA
550,-1,NA
551,-1,NA
552,-1,NA
553,2,Smc
554,4,Smc
555,9,eL2/3
556,3,Endo
557,-1,NA
558,-1,NA
559,2,eL6
560,11,eL4
561,-1,NA
562,8,eL2/3
563,7,eL6
564,-1,NA
565,4,eL2/3
566,-1,NA
567,1,eL5
568,0,eL4
569,-1,NA
570,1,eL6
571,7,eL4
572,0,PV
573,0,eL5
574,11,Endo
575,-1,NA
576,-1,NA
577,3,eL2/3
578,7,eL4
579,-1,NA
580,-1,NA
581,1,SST
582,-1,NA
583,-1,NA
584,-1,NA
585,2,eL4
586,1,eL4
587,4,eL2/3
588,-1,NA
589,3,eL5
590,-1,NA
591,3,eL4
592,3,eL4
593,-1,NA
594,0,SST
595,-1,NA
596,4,eL5
597,0,eL6
598,3,eL5
599,0,PV
600,-1,NA
601,2,eL6
602,3,eL2/3
603,0,Endo
604,0,eL2/3
605,-1,NA
606,0,NPY
