CellID,ClusterID,ClusterName
0,-1,NA
1,-1,NA
2,-1,NA
3,-1,NA
4,0,eL2/3
5,3,eL6
6,-1,NA
7,2,eL5
8,6,Oligo
9,2,eL5
10,-1,NA
11,1,eL4
12,3,eL6
13,1,eL4
14,-1,NA
15,-1,NA
16,11,PV
17,-1,NA
18,3,eL6
19,-1,NA
20,6,Oligo
21,1,eL4
22,2,eL5
23,3,eL6
24,-1,NA
25,-1,NA
26,-1,NA
27,2,eL5
28,5,Endo
29,-1,NA
30,7,Astro
31,0,eL2/3
32,1,eL4
33,3,eL6
34,3,eL6
35,-1,NA
36,6,Oligo
37,7,Astro
38,-1,NA
39,0,eL2/3
40,1,eL4
41,1,eL4
42,-1,NA
43,1,eL4
44,1,eL4
45,-1,NA
46,-1,NA
47,0,eL2/3
48,1,eL4
49,-1,NA
50,-1,NA
51,1,eL4
52,-1,NA
53,0,eL2/3
54,3,eL6
55,-1,NA
56,-1,NA
57,5,Endo
58,-1,NA
59,5,Endo
60,-1,NA
61,-1,NA
62,-1,NA
63,4,Smc
64,3,eL6
65,1,eL4
66,3,eL6
67,-1,NA
68,0,eL2/3
69,1,eL4
70,2,eL5
71,2,eL5
72,2,eL5
73,1,eL4
74,11,PV
75,2,eL5
76,10,NPY
77,3,eL6
78,-1,NA
79,0,eL2/3
80,1,eL4
81,1,eL4
82,2,eL5
83,2,eL5
84,0,eL2/3
85,1,eL4
86,0,eL2/3
87,1,eL4
88,0,eL2/3
89,3,eL6
90,-1,NA
91,8,VIP
92,0,eL2/3
93,3,eL6
94,0,eL2/3
95,1,eL4
96,6,Oligo
97,2,eL5
98,2,eL5
99,1,eL4
100,1,eL4
101,2,eL5
102,5,Endo
103,-1,NA
104,-1,NA
105,-1,NA
106,1,eL4
107,6,Oligo
108,3,eL6
109,3,eL6
110,3,eL6
111,7,Astro
112,4,Smc
113,1,eL4
114,1,eL4
115,3,eL6
116,2,eL5
117,-1,NA
118,-1,NA
119,-1,NA
120,3,eL6
121,-1,NA
122,1,eL4
123,-1,NA
124,6,Oligo
125,4,Smc
126,1,eL4
127,0,eL2/3
128,6,Oligo
129,0,eL2/3
130,2,eL5
131,7,Astro
132,0,eL2/3
133,1,eL4
134,9,SST
135,1,eL4
136,-1,NA
137,7,Astro
138,2,eL5
139,3,eL6
140,-1,NA
141,3,eL6
142,7,Astro
143,3,eL6
144,1,eL4
145,5,Endo
146,1,eL4
147,3,eL6
148,5,Endo
149,6,Oligo
150,0,eL2/3
151,-1,NA
152,0,eL2/3
153,1,eL4
154,9,SST
155,3,eL6
156,7,Astro
157,-1,NA
158,3,eL6
159,2,eL5
160,5,Endo
161,-1,NA
162,1,eL4
163,11,PV
164,4,Smc
165,2,eL5
166,3,eL6
167,-1,NA
168,4,Smc
169,7,Astro
170,7,Astro
171,-1,NA
172,5,Endo
173,7,Astro
174,7,Astro
175,1,eL4
176,-1,NA
177,1,eL4
178,3,eL6
179,0,eL2/3
180,0,eL2/3
181,0,eL2/3
182,2,eL5
183,1,eL4
184,1,eL4
185,-1,NA
186,3,eL6
187,4,Smc
188,2,eL5
189,3,eL6
190,-1,NA
191,-1,NA
192,6,Oligo
193,0,eL2/3
194,1,eL4
195,3,eL6
196,-1,NA
197,1,eL4
198,2,eL5
199,-1,NA
200,1,eL4
201,0,eL2/3
202,2,eL5
203,6,Oligo
204,-1,NA
205,-1,NA
206,3,eL6
207,4,Smc
208,3,eL6
209,5,Endo
210,1,eL4
211,-1,NA
212,1,eL4
213,7,Astro
214,0,eL2/3
215,1,eL4
216,0,eL2/3
217,-1,NA
218,3,eL6
219,1,eL4
220,-1,NA
221,-1,NA
222,0,eL2/3
223,-1,NA
224,0,eL2/3
225,2,eL5
226,0,eL2/3
227,2,eL5
228,3,eL6
229,7,Astro
230,2,eL5
231,-1,NA
232,2,eL5
233,2,eL5
234,4,Smc
235,8,VIP
236,1,eL4
237,5,Endo
238,5,Endo
239,1,eL4
240,1,eL4
241,0,eL2/3
242,7,Astro
243,7,Astro
244,3,eL6
245,3,eL6
246,2,eL5
247,-1,NA
248,0,eL2/3
249,0,eL2/3
250,-1,NA
251,2,eL5
252,0,eL2/3
253,-1,NA
254,9,SST
255,0,eL2/3
256,1,eL4
257,0,eL2/3
258,-1,NA
259,3,eL6
260,0,eL2/3
261,7,Astro
262,2,eL5
263,4,Smc
264,8,VIP
265,0,eL2/3
266,0,eL2/3
267,7,Astro
268,1,eL4
269,3,eL6
270,2,eL5
271,2,eL5
272,-1,NA
273,1,eL4
274,-1,NA
275,7,Astro
276,3,eL6
277,-1,NA
278,7,Astro
279,2,eL5
280,3,eL6
281,-1,NA
282,5,Endo
283,3,eL6
284,0,eL2/3
285,7,Astro
286,-1,NA
287,3,eL6
288,0,eL2/3
289,0,eL2/3
290,10,NPY
291,1,eL4
292,3,eL6
293,5,Endo
294,3,eL6
295,-1,NA
296,1,eL4
297,1,eL4
298,-1,NA
299,0,eL2/3
300,-1,NA
301,-1,NA
302,2,eL5
303,0,eL2/3
304,1,eL4
305,2,eL5
306,0,eL2/3
307,6,Oligo
308,2,eL5
309,3,eL6
310,1,eL4
311,1,eL4
312,-1,NA
313,11,PV
314,-1,NA
315,3,eL6
316,9,SST
317,0,eL2/3
318,3,eL6
319,4,Smc
320,0,eL2/3
321,0,eL2/3
322,0,eL2/3
323,4,Smc
324,0,eL2/3
325,2,eL5
326,-1,NA
327,3,eL6
328,1,eL4
329,3,eL6
330,2,eL5
331,0,eL2/3
332,9,SST
333,3,eL6
334,-1,NA
335,1,eL4
336,2,eL5
337,3,eL6
338,0,eL2/3
339,0,eL2/3
340,1,eL4
341,3,eL6
342,5,Endo
343,-1,NA
344,3,eL6
345,3,eL6
346,1,eL4
347,1,eL4
348,6,Oligo
349,-1,NA
350,7,Astro
351,2,eL5
352,9,SST
353,3,eL6
354,9,SST
355,1,eL4
356,-1,NA
357,-1,NA
358,6,Oligo
359,1,eL4
360,3,eL6
361,1,eL4
362,3,eL6
363,3,eL6
364,3,eL6
365,1,eL4
366,-1,NA
367,7,Astro
368,3,eL6
369,0,eL2/3
370,-1,NA
371,6,Oligo
372,3,eL6
373,6,Oligo
374,2,eL5
375,4,Smc
376,0,eL2/3
377,2,eL5
378,3,eL6
379,-1,NA
380,6,Oligo
381,1,eL4
382,1,eL4
383,0,eL2/3
384,6,Oligo
385,-1,NA
386,-1,NA
387,0,eL2/3
388,2,eL5
389,4,Smc
390,-1,NA
391,11,PV
392,0,eL2/3
393,2,eL5
394,-1,NA
395,5,Endo
396,10,NPY
397,5,Endo
398,-1,NA
399,1,eL4
400,9,SST
401,0,eL2/3
402,8,VIP
403,6,Oligo
404,-1,NA
405,1,eL4
406,7,Astro
407,3,eL6
408,2,eL5
409,1,eL4
410,2,eL5
411,3,eL6
412,2,eL5
413,0,eL2/3
414,-1,NA
415,6,Oligo
416,-1,NA
417,-1,NA
418,1,eL4
419,10,NPY
420,0,eL2/3
421,1,eL4
422,4,Smc
423,1,eL4
424,6,Oligo
425,3,eL6
426,0,eL2/3
427,1,eL4
428,9,SST
429,3,eL6
430,0,eL2/3
431,-1,NA
432,1,eL4
433,1,eL4
434,3,eL6
435,6,Oligo
436,-1,NA
437,7,Astro
438,6,Oligo
439,3,eL6
440,0,eL2/3
441,0,eL2/3
442,2,eL5
443,6,Oligo
444,9,SST
445,2,eL5
446,1,eL4
447,3,eL6
448,-1,NA
449,0,eL2/3
450,-1,NA
451,0,eL2/3
452,2,eL5
453,-1,NA
454,-1,NA
455,0,eL2/3
456,2,eL5
457,0,eL2/3
458,5,Endo
459,2,eL5
460,4,Smc
461,0,eL2/3
462,-1,NA
463,5,Endo
464,-1,NA
465,6,Oligo
466,2,eL5
467,0,eL2/3
468,6,Oligo
469,-1,NA
470,1,eL4
471,7,Astro
472,10,NPY
473,0,eL2/3
474,2,eL5
475,3,eL6
476,-1,NA
477,5,Endo
478,1,eL4
479,3,eL6
480,9,SST
481,2,eL5
482,3,eL6
483,0,eL2/3
484,0,eL2/3
485,1,eL4
486,0,eL2/3
487,3,eL6
488,6,Oligo
489,6,Oligo
490,-1,NA
491,3,eL6
492,3,eL6
493,3,eL6
494,0,eL2/3
495,-1,NA
496,3,eL6
497,11,PV
498,0,eL2/3
499,2,eL5
500,-1,NA
501,3,eL6
502,11,PV
503,-1,NA
504,11,PV
505,7,Astro
506,3,eL6
507,-1,NA
508,-1,NA
509,-1,NA
510,3,eL6
511,0,eL2/3
512,7,Astro
513,3,eL6
514,5,Endo
515,-1,NA
516,3,eL6
517,2,eL5
518,3,eL6
519,3,eL6
520,11,PV
521,6,Oligo
522,9,SST
523,4,Smc
524,1,eL4
525,10,NPY
526,-1,NA
527,1,eL4
528,1,eL4
529,0,eL2/3
530,6,Oligo
531,7,Astro
532,-1,NA
533,2,eL5
534,3,eL6
535,2,eL5
536,-1,NA
537,-1,NA
538,2,eL5
539,0,eL2/3
540,2,eL5
541,-1,NA
542,1,eL4
543,3,eL6
544,0,eL2/3
545,-1,NA
546,11,PV
547,1,eL4
548,1,eL4
549,1,eL4
550,2,eL5
551,0,eL2/3
552,1,eL4
553,-1,NA
554,2,eL5
555,4,Smc
556,9,SST
557,3,eL6
558,2,eL5
559,-1,NA
560,11,PV
561,8,VIP
562,7,Astro
563,4,Smc
564,1,eL4
565,0,eL2/3
566,1,eL4
567,7,Astro
568,0,eL2/3
569,0,eL2/3
570,-1,NA
571,-1,NA
572,-1,NA
573,11,PV
574,-1,NA
575,-1,NA
576,3,eL6
577,-1,NA
578,7,Astro
579,-1,NA
580,1,eL4
581,2,eL5
582,1,eL4
583,4,Smc
584,3,eL6
585,3,eL6
586,3,eL6
587,0,eL2/3
588,4,Smc
589,0,eL2/3
590,3,eL6
591,0,eL2/3
592,2,eL5
593,3,eL6
594,0,eL2/3
595,0,eL2/3
596,0,eL2/3
597,1,eL4
598,2,eL5
599,2,eL5
600,-1,NA
601,6,Oligo
